systemId,bioFr,parentSystemId,color,level,displayName,active,racineSystemId,sotsGlobalScore,unlockLevel,rarityTier,sotsRecent30Score,totalVotes,domainKey,id,created_date,updated_date,created_by_id,is_sample
"ST-000192","","ST-000005","","3","Bassline & Uk Funky","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b02499","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000074","","ST-000191","","3","Post-Dubstep","true","ST-000001","0","7","rare","0","0","music","69b8134c77c81ce104b0249a","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000075","","ST-000005","","3","Future Bass / Future Garage","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b0249b","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000042","","ST-000003","","2","Hardcore Techno","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b0249c","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000010","","ST-000006","","3","Hardcore Techno / Rave","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b0249d","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000043","","ST-000006","","3","Breakbeat Hardcore & Piano House (Rave II)","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b0249e","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000044","","ST-000006","","3","Darkcore & Darkstep","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b0249f","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000045","","ST-000006","","3","(Early) Gabber","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b024a0","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000046","","ST-000006","","3","Happy Hardcore & Bouncy Techno","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b024a1","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000047","","ST-000006","","3","Speedcore, Frenchcore & Terrorcore","true","ST-000001","0","13","epic","0","0","music","69b8134c77c81ce104b024a2","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000048","","ST-000006","","3","Digital Hardcore & Breakcore","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b024a3","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000049","","ST-000006","","3","Hardstyle & Jumpstyle","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b024a4","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000050","","ST-000006","","3","Nu Style (Gabber) / Mainstream Hardcore","true","ST-000001","0","6","rare","0","0","music","69b8134c77c81ce104b024a5","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000033","","ST-000007","","3","Classic Trance & Acid Trance","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b024a6","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000034","","ST-000007","","3","Ibiza Trance & Dream Trance","true","ST-000001","0","4","rare","0","0","music","69b8134c77c81ce104b024a7","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000035","","ST-000007","","3","Goa Trance & Psytrance","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b024a8","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000036","","ST-000007","","3","Progressive Trance","true","ST-000001","0","7","rare","0","0","music","69b8134c77c81ce104b024a9","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000037","","ST-000007","","3","Eurotrance & Vocal Trance","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b024aa","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000038","","ST-000007","","3","Hardtrance","true","ST-000001","0","3","common","0","0","music","69b8134c77c81ce104b024ab","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
