sourceId,culturalMomentId,checkpointSystemId,sourceTable,recordedAt,signalType,signalValue,id,created_date,updated_date,created_by_id,is_sample
"69e57ea72577d59c9b51a298","69e57ec9bc62e135054052c8","NC-0000000108","Session","2026-04-20T01:18:00.412Z","session_opened","1","69e57ec9e8389bc52be7d3aa","2026-04-20T01:18:01.348000","2026-04-20T01:18:01.348000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69e26b42eccc4206778647b2","69e26ccb51989d35e916093f","NC-0000000249","Session","2026-04-17T17:40:10.891Z","session_confirmed","1","69e2707b8cc6644a3b43bf4e","2026-04-17T17:40:11.229000","2026-04-17T17:40:11.229000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69e26b42eccc4206778647b2","69e26ccb51989d35e916093f","NC-0000000249","Session","2026-04-17T17:24:26.556Z","session_opened","1","69e26ccbcd1c7f38f1285e4d","2026-04-17T17:24:27.556000","2026-04-17T17:24:27.556000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69dfac3f6605a23090f5f5bb","69dfacd226406d7ae2828602","NC-0000000135","Session","2026-04-15T15:21:09.251Z","session_confirmed","1","69dface56f04f1da47d0265e","2026-04-15T15:21:09.610000","2026-04-15T15:21:09.610000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69dfac3f6605a23090f5f5bb","69dfacd226406d7ae2828602","NC-0000000135","Session","2026-04-15T15:20:50.157Z","session_opened","1","69dfacd2faa2e053316f52c7","2026-04-15T15:20:50.858000","2026-04-15T15:20:50.858000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69d69a09eb20fc6d7d1e695b","69d69a3a6ffe1c50c26d7b30","NC-0000000101","Session","2026-04-08T18:12:53.698Z","session_confirmed","1","69d69aa6eb9ff9a72fcba2da","2026-04-08T18:12:54.065000","2026-04-08T18:12:54.065000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69d69a09eb20fc6d7d1e695b","69d69a3a6ffe1c50c26d7b30","NC-0000000101","Session","2026-04-08T18:11:05.597Z","session_opened","1","69d69a3ad4ad417817447598","2026-04-08T18:11:06.522000","2026-04-08T18:11:06.522000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69d417f500f114fa3831a525","69d419f2765d5fdd4fa26bf1","NC-0000000095","Session","2026-04-06T20:43:23.672Z","session_confirmed","1","69d41aec93464b25b328f2ca","2026-04-06T20:43:24.118000","2026-04-06T20:43:24.118000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69d417f500f114fa3831a525","69d419f2765d5fdd4fa26bf1","NC-0000000095","Session","2026-04-06T20:39:13.729Z","session_opened","1","69d419f224dfa9ed5cc41d8c","2026-04-06T20:39:14.652000","2026-04-06T20:39:14.652000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"NC-0000000165","69d10b8dd85e4e1407404b3a","NC-0000000165","CheckpointLiveStats","2026-04-04T13:01:00.919Z","session_opened","1","69d10b8d5fc3abb1db01efab","2026-04-04T13:01:01.708000","2026-04-04T13:01:01.708000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"69cfeb0f600e3b544709885e","69cfece7a9ce2b2dcfd18cad","NC-0000000169","Session","2026-04-03T16:39:05.220Z","session_confirmed","1","69cfed29411f65a118fb4ffb","2026-04-03T16:39:05.735000","2026-04-03T16:39:05.735000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69cfeb0f600e3b544709885e","69cfece7a9ce2b2dcfd18cad","NC-0000000169","Session","2026-04-03T16:37:59.163Z","session_opened","1","69cfece796918d4ab849432c","2026-04-03T16:37:59.958000","2026-04-03T16:37:59.958000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"NC-0000000165","69cf9fe8aa3a9e41a0f8077c","NC-0000000165","CheckpointLiveStats","2026-04-03T13:01:00.828Z","checkin","1","69cfba0e12a02b288110661a","2026-04-03T13:01:02.013000","2026-04-03T13:01:02.013000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000165","69cf9fe8aa3a9e41a0f8077c","NC-0000000165","CheckpointLiveStats","2026-04-03T13:01:00.828Z","session_opened","1","69cfba0e12a02b2881106619","2026-04-03T13:01:02.013000","2026-04-03T13:01:02.013000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000165","69cf9fe8aa3a9e41a0f8077c","NC-0000000165","CheckpointLiveStats","2026-04-03T13:01:00.828Z","session_opened","100","69cfba0e12a02b288110661b","2026-04-03T13:01:02.013000","2026-04-03T13:01:02.013000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000165","69cf9fe8aa3a9e41a0f8077c","NC-0000000165","CheckpointLiveStats","2026-04-03T13:01:00.828Z","session_confirmed","7","69cfba0e12a02b2881106618","2026-04-03T13:01:02.013000","2026-04-03T13:01:02.013000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000095","69cfba0d0a1a53ab84c8792e","NC-0000000095","CheckpointLiveStats","2026-04-03T13:01:00.828Z","session_confirmed","2","69cfba0d205af8c686b46689","2026-04-03T13:01:01.545000","2026-04-03T13:01:01.545000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"69cf9fcd51d3bbfbca8603da","69cf9fe8aa3a9e41a0f8077c","NC-0000000165","Session","2026-04-03T11:09:27.582Z","session_opened","1","69cf9fe87ea2a037b4f79711","2026-04-03T11:09:28.404000","2026-04-03T11:09:28.404000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"NC-0000000095","69cea6da649ebf90a314e261","NC-0000000095","CheckpointLiveStats","2026-04-02T21:54:13.960Z","session_opened","6","69cee5876c3a2e0b348f28c0","2026-04-02T21:54:15.697000","2026-04-02T21:54:15.697000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000095","69cea6da649ebf90a314e261","NC-0000000095","CheckpointLiveStats","2026-04-02T21:26:50.001Z","session_opened","5","69cedf1acdc7574c083aa23c","2026-04-02T21:26:50.913000","2026-04-02T21:26:50.913000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000095","69cea6da649ebf90a314e261","NC-0000000095","CheckpointLiveStats","2026-04-02T20:26:50.104Z","session_opened","3","69ced10a616320bd88a33f6f","2026-04-02T20:26:50.928000","2026-04-02T20:26:50.928000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000095","69cea6da649ebf90a314e261","NC-0000000095","CheckpointLiveStats","2026-04-02T20:26:50.104Z","session_opened","19","69ced10a616320bd88a33f70","2026-04-02T20:26:50.928000","2026-04-02T20:26:50.928000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000095","69cea6da649ebf90a314e261","NC-0000000095","CheckpointLiveStats","2026-04-02T17:26:49.984Z","session_opened","2","69cea6da88495175184f13ba","2026-04-02T17:26:50.610000","2026-04-02T17:26:50.610000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000095","69cea6da649ebf90a314e261","NC-0000000095","CheckpointLiveStats","2026-04-02T17:26:49.984Z","session_opened","14","69cea6da88495175184f13bb","2026-04-02T17:26:50.610000","2026-04-02T17:26:50.610000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000105","69cd62e0f39a30529ee944e8","NC-0000000105","CheckpointLiveStats","2026-04-01T22:26:50.051Z","session_confirmed","1","69cd9baa40725fa946d67531","2026-04-01T22:26:50.797000","2026-04-01T22:26:50.797000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000105","69cd62e0f39a30529ee944e8","NC-0000000105","CheckpointLiveStats","2026-04-01T21:26:50.065Z","session_confirmed","1","69cd8d9a3333badb8dcc28ae","2026-04-01T21:26:50.990000","2026-04-01T21:26:50.990000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
