displayName,stripeConnectOnboardingStatus,bio,referrerCode,cosmeticXp,activeRoles,primaryStyleSystemIds,badgeSlots,trustScore,verifiedRevenueTotal,activeCheckpoints,sotsRecent30Score,leagueSlots,referralCode,primaryCheckpointId,cosmeticBadges,pricingBase,styleWeights,referrerId,avatarUrl,sotsGlobalScore,userId,xpGlobal,activeDomains,stripeConnectAccountId,earnedRoles,activeStyles,id,created_date,updated_date,created_by_id,is_sample
"Andreanne Neveu","","","1NBZTIWK","0","[""RL-000008"",""RL-000029""]","[]","","0","0","[]","3.8","","MRK0Q4Q732","","[]","","{""ST-000022"":50,""ST-000183"":50}","698c747aee05acfdd23ea578","","3.8","69cbff8d58eb0af5dc346df8","0","[""music"",""humour""]","","","[""ST-000022"",""ST-000183""]","69cbff94d4304af583b22e84","2026-03-31T17:08:36.670000","2026-04-01T15:41:22.991000","69cbff8d58eb0af5dc346df8","false"
"Stephane Guei","not_started","Acteurs de l'écosystème entrepreneurial","1NBZTIWK","10","[""RL-000008""]","[]","","0","0","[]","5","","MRP279TQIP","","[""Explorer""]","","{""ST-000114"":50}","698c747aee05acfdd23ea578","https://res.cloudinary.com/dnp8eionl/image/upload/v1775058022/microrave/avatars/pogmnfcbqp7crf8boye8.jpg","5","69cbfedd21c3baa494041243","140","[""music""]","","[]","[""ST-000114""]","69cbfefbad398732fd83b195","2026-03-31T17:06:03.823000","2026-04-28T14:40:13.639000","69cbfedd21c3baa494041243","false"
"Lupin","not_started","","MRWQ7KB1KQ","20","[""RL-000008"",""RL-000101""]","[]","","0","0","[]","4.28","","MR6RJH9WVP","","[""Explorer""]","","{""ST-000099"":50,""ST-000092"":50}","69b5fabdcdff0f2e42039d46","","4.28","69be7dd0c77c2ac0d788be7e","140","[""music"",""responsable""]","","[]","[""ST-000099"",""ST-000092""]","69cb2b3c29999e785b9a8ae9","2026-03-31T02:02:36.526000","2026-04-20T01:29:57.916000","69be7dd0c77c2ac0d788be7e","false"
"Peter","not_started","","","0","[]","[]","","0","0","[]","0","","","","[]","","{}","","","0","69c446f5e8203449298d7b7a","0","[]","","[]","[]","69c446fea0de710e5983b2d1","2026-03-25T20:35:10.091000","2026-04-20T01:01:58.427000","69c446f5e8203449298d7b7a","false"
"RaedNyos534","","","","0","[""RL-000008""]","[]","","0","0","[]","0","","","","[]","","{""ST-000023"":50,""ST-000018"":50,""ST-000019"":50,""ST-000020"":50,""ST-000008"":50}","","","0","69bc2233a6db140ca6cd819a","0","[""music""]","","","[""ST-000023"",""ST-000018"",""ST-000019"",""ST-000020"",""ST-000008""]","69bc225b864d341d0dc9d59b","2026-03-19T16:20:43.414000","2026-03-19T16:25:06.286000","69bc2233a6db140ca6cd819a","false"
"Florian Elizagoïen","not_started","","1NBZTIWK","20","[""RL-000009"",""RL-000001"",""RL-000008""]","[]","","0","0","[]","4.4","","MRGCJVEKR8","","[""Explorer""]","","{""ST-000240"":50}","698c747aee05acfdd23ea578","","4.66","69b8923e5da3bfb51a6a8594","280","[""photo"",""art"",""music""]","","[]","[""ST-000240""]","69b89252f493055b3ac3464f","2026-03-16T23:29:22.933000","2026-04-20T01:30:00.206000","69b8923e5da3bfb51a6a8594","false"
"Peddy Multidor","not_started","","1NBZTIWK","10","[""RL-000010""]","[]","","0","0","[]","4.12","","MRWQ7KB1KQ","","[""Explorer""]","","{""ST-000201"":50}","698c747aee05acfdd23ea578","","4.25","69b5fabdcdff0f2e42039d46","140","[""video""]","","[]","[""ST-000201""]","69b5fac4c59e2d016626d5da","2026-03-15T00:18:12.680000","2026-04-20T01:16:12.328000","69b5fabdcdff0f2e42039d46","false"
"Absalon","","dj depuis 2023 majoritairement edm (house, tech house) 
son but est de faire découvrir de la nouvelle musique au monde","1NBZTIWK","10","[""RL-000008""]","[]","","0","0","[]","4.39","","MRHS92AQEI","","[""Explorer""]","","{""ST-000029"":50,""ST-000019"":50,""ST-000025"":50}","698c747aee05acfdd23ea578","https://res.cloudinary.com/dnp8eionl/image/upload/v1775058519/microrave/avatars/kjynyat1ioog9n4jbrhz.jpg","4.39","69b4a88ad33793adbf168b20","140","[""music""]","","","[""ST-000029"",""ST-000019"",""ST-000025""]","69b4a904e98922735bc7f9ad","2026-03-14T00:17:08.099000","2026-04-02T13:48:02.489000","69b4a88ad33793adbf168b20","false"
"PixelLightz","","","1NBZTIWK","10","[""RL-000008""]","[]","","0","0","[]","4.54","","MR7I8328AZ","","[""Explorer""]","","{""ST-000052"":50}","698c747aee05acfdd23ea578","https://res.cloudinary.com/dnp8eionl/image/upload/v1774924690/microrave/avatars/yhlqkcklwteekcrryalc.jpg","4.54","69b4a8115562898f235bf638","140","[]","","","[""ST-000191"",""ST-000068"",""ST-000071"",""ST-000052""]","69b4a81adab48e0d6c723dbe","2026-03-14T00:13:14.171000","2026-04-01T15:00:35.272000","69b4a8115562898f235bf638","false"
"Sam Blair","active","Traveling DJ","1NBZTIWK","535","[""RL-000008"",""RL-000029""]","[]","","0","0","[]","4.15","","MRYP7GSSCK","","[""Explorer""]","","{""ST-000075"":50,""ST-000192"":50,""ST-000099"":50,""ST-000100"":50,""ST-000103"":50,""ST-000190"":50,""ST-000184"":50,""ST-000183"":50}","698c747aee05acfdd23ea578","https://res.cloudinary.com/dnp8eionl/image/upload/v1774959994/microrave/avatars/pmvmdqpwhbbtpbv0azue.jpg","4.03","69b48a2b7d5c0db589c6bb1c","22840","[""music"",""humour""]","acct_1TNu0OE1pkPYEQBM","[""Vendeur""]","[""ST-000075"",""ST-000192"",""ST-000099"",""ST-000100"",""ST-000103"",""ST-000190"",""ST-000184"",""ST-000183""]","69b48a44f5d8877f166b4421","2026-03-13T22:05:56.301000","2026-04-24T01:18:33.214000","69b48a2b7d5c0db589c6bb1c","false"
