vibe,coverImageUrl,timezone,arrondissement,geoLat,domainDominantKey,iconKey,type,geoLng,domainRanking,province,sotsRecent30Score,difficultyTier,totalVotes,domainKey,systemId,active,codePostal,sotsGlobalScore,styleTags,radiusKm,name,adresse,parentCheckpointId,pays,id,created_date,updated_date,created_by_id,is_sample
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774922090/20633600_139536143200998_2960597398960734208_a_rnhvjj.jpg","America/Toronto","Ville-Marie","45.489744027857924","","🍻","Bar","-73.56676020767824","[]","QC","0","","0","","NC-0000000052","true","","0","[]","0.1","LE PARLOIR - CAVES PRIVEES","424 rue Guy","","CA","69ce5852314e03da4ab945f0","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","","America/Toronto","Le Sud-Ouest","45.49208689890436","","🍻","Bar","-73.56531050888853","[]","QC","0","","0","","NC-0000000168","false","","0","[]","0.1","GESTIAS INC.","1370 rue Notre-Dame O","","CA","69ce5852314e03da4ab945f2","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"underground","","America/Toronto","Côte-des-Neiges-Notre-Dame-de-Grâce","45.463521311139544","music","🍻","Bar","-73.62780981380936","[{""weight"":0.75,""key"":""music""},{""weight"":0.25,""key"":""humour""}]","QC","0","1","0","","NC-0000000004","false","","0","[]","0.1","Club la roue","3373 boulevard Cavendish","","CA","69ce5852314e03da4ab945e3","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/495157979_17965630220910515_796663514611190205_n_sx0aw8.jpg","America/Toronto","Ville-Marie","45.497736744986994","music","🍻","Bar","","[]","QC","0","1","0","","NC-0000000300","true","H3G 2B6","0","[]","0.1","Mona Loa","1464 Rue Crescent","","CA","69ce5852314e03da4ab945fe","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","","America/Toronto","Ville-Marie","45.499529137788294","","📺","Radio et télévision","-73.56499879080583","[]","QC","0","","0","","NC-0000000214","false","","0","[]","0.1","Cogeco Média","800 rue De La Gauchetière O","","CA","69ce5852314e03da4ab9460a","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774922090/bdm-bg-white-logo_pshjom.jpg","America/Toronto","Le Sud-Ouest","45.48969775375878","humour","🛢️","Microbrasserie","-73.5643727529726","[{""weight"":1,""key"":""humour""}]","QC","0","","0","","NC-0000000054","true","","0","[]","0.1","BRASSEURS DE MONTREAL INC.","1483 rue Ottawa","","CA","69ce5852314e03da4ab945ef","2026-04-02T11:51:46.974000","2026-04-20T14:46:11.887000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/314001251_226530129716183_8614196091468249289_n_c3keuq.jpg","America/Toronto","Ville-Marie","45.49686380626082","humour","🍻","Bar","-73.57726491222932","[{""weight"":0.5,""key"":""humour""},{""weight"":0.5,""key"":""art""}]","QC","0","","0","","NC-0000000144","true","","0","[]","0.1","MCKIBBIN'S IRISH PUB","1426 rue Bishop","","CA","69ce5852314e03da4ab945f7","2026-04-02T11:51:46.974000","2026-04-20T14:46:11.069000","698c747aee05acfdd23ea578","false"
"","","America/Toronto","Ville-Marie","45.499529137788294","humour","📺","Radio et télévision","-73.56499879080583","[{""weight"":0.3333,""key"":""humour""},{""weight"":0.3333,""key"":""video""},{""weight"":0.3333,""key"":""music""}]","QC","0","","0","","NC-0000000213","false","","0","[]","0.1","98.5 FM","800 rue De La Gauchetière O","","CA","69ce5852314e03da4ab94607","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"underground","","America/Toronto","Ville-Marie","45.49684258804528","","🍻","Bar","-73.57721890378579","[]","QC","0","1","0","","NC-0000000074","false","","0","[]","0.1","Speakeasy","1426 rue Bishop","","CA","69ce5852314e03da4ab945f6","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/343951851_754168706360649_5814868038921060289_n_vvpl9y.jpg","America/Toronto","Ville-Marie","45.5002764244725","","🍻","Bar","-73.55987968059951","[]","QC","0","","0","","NC-0000000072","true","","0","[]","0.1","Hang","686 rue Notre-Dame O","","CA","69ce5852314e03da4ab9460c","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
