rolePrefs,stylePrefs,domainAffinity,checkpointPrefs,userId,updatedAt,id,created_date,updated_date,created_by_id,is_sample
"{""RL-000008"":{""active"":true}}","{""ST-000029"":{""active"":true,""weight"":50},""ST-000019"":{""active"":true,""weight"":50},""ST-000025"":{""active"":true,""weight"":50}}","{""music"":0.5275,""humour"":0.5155,""photo"":0.5,""video"":0.51,""food"":0.5,""art"":0.504,""responsable"":0.5}","{}","69b4a88ad33793adbf168b20","2026-03-14T00:36:22.165Z","69b4a9052e1561d7c4f244f8","2026-03-14T00:17:09.001000","2026-03-14T00:36:22.484000","69b4a88ad33793adbf168b20","false"
"{""RL-000008"":{""active"":true}}","{""ST-000191"":{""active"":true,""weight"":50},""ST-000068"":{""active"":true,""weight"":50},""ST-000071"":{""active"":true,""weight"":50},""ST-000052"":{""active"":true,""weight"":50}}","{""music"":0.512,""humour"":0.508,""photo"":0.5,""video"":0.508,""food"":0.5,""art"":0.504,""responsable"":0.5}","{}","69b4a8115562898f235bf638","2026-03-14T00:30:50.394Z","69b4a81acfa1615dfde07b48","2026-03-14T00:13:14.811000","2026-03-14T00:30:50.679000","69b4a8115562898f235bf638","false"
"{""RL-000008"":{""active"":true},""RL-000029"":{""active"":true}}","{""ST-000075"":{""active"":true,""weight"":50},""ST-000192"":{""active"":true,""weight"":50},""ST-000099"":{""active"":true,""weight"":50},""ST-000100"":{""active"":true,""weight"":50},""ST-000103"":{""active"":true,""weight"":50},""ST-000190"":{""active"":true,""weight"":50},""ST-000184"":{""active"":true,""weight"":50},""ST-000183"":{""active"":true,""weight"":50}}","{""music"":0.5997,""humour"":0.5385,""photo"":0.504,""video"":0.5358,""food"":0.502,""art"":0.504,""responsable"":0.5}","{}","69b48a2b7d5c0db589c6bb1c","2026-04-21T20:35:23.978Z","69b48a449f4eab644cc8dee1","2026-03-13T22:05:56.787000","2026-04-21T20:35:25.581000","69b48a2b7d5c0db589c6bb1c","false"
"{""RL-000055"":{""active"":true}}","{""ST-000226"":{""active"":true}}","{""music"":0.5115,""humour"":0.5035,""photo"":0.5,""video"":0.5055,""food"":0.5,""art"":0.502,""responsable"":0.5}","","69b041a28ed1d3967eceb5b1","2026-03-13T16:38:06.864Z","69b439b861bc534a678d6787","2026-03-13T16:22:16.731000","2026-03-13T16:38:10.496000","69b041a28ed1d3967eceb5b1","false"
"","","{""music"":0.5055,""humour"":0.5035,""photo"":0.5,""video"":0.5035,""food"":0.5,""art"":0.5,""responsable"":0.5}","","69a7d3cc06fc3b4f58109b29","2026-03-04T06:40:49.439Z","69a7d3ed0908f2dda37dfb5f","2026-03-04T06:40:45.963000","2026-03-04T06:40:49.743000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"{}","{}","","{}","69a4b81bbabcabb1a90083b6","","69a775d7e27bf18720142525","2026-03-03T23:59:19.646000","2026-03-03T23:59:19.646000","69a4b81bbabcabb1a90083b6","false"
"{}","{}","{""music"":0.5175,""humour"":0.5055,""photo"":0.518,""video"":0.5744,""food"":0.508,""art"":0.5,""responsable"":0.5}","{}","69a61f43b0417a586eff8791","2026-03-02T23:51:22.103Z","69a61fec991f56e5532fd441","2026-03-02T23:40:28.008000","2026-03-02T23:51:22.454000","69a61f43b0417a586eff8791","false"
"","","{""music"":0.522,""humour"":0.504,""photo"":0.5,""video"":0.512,""food"":0.5,""art"":0.5,""responsable"":0.5}","","69a4b81bbabcabb1a90083b6","2026-03-01T22:07:30.247Z","69a4b87aa10d8b73121af0e3","2026-03-01T22:06:50.914000","2026-03-01T22:07:30.542000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"","","{""music"":0.502,""humour"":0.5,""photo"":0.502,""video"":0.502,""food"":0.502,""art"":0.5,""responsable"":0.5}","","69a4b81bbabcabb1a90083b6","2026-03-01T22:06:49.943Z","69a4b87a56b4eed1f819aa81","2026-03-01T22:06:50.757000","2026-03-01T22:06:50.757000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"{}","{}","{""music"":0.5319,""humour"":0.504,""photo"":0.512,""video"":0.52,""food"":0.514,""art"":0.5,""responsable"":0.5}","{}","69a3105457642cd985a208eb","2026-02-28T16:05:21.526Z","69a310753f02f21323d0988b","2026-02-28T15:57:41.480000","2026-02-28T16:05:21.902000","69a3105457642cd985a208eb","false"
