centerLng,sceneScore,sceneKey,sceneName,active,lastComputedAt,centerLat,checkpointSystemIds,checkpointCount,activeMomentCount,domainKey,id,created_date,updated_date,created_by_id,is_sample
"-73.60410085722872","140","music_NC-0000000006-NC-0000000018-NC-0000000031-NC-0000000040","Scène music — NACHO LIBRE","false","2026-04-23T15:19:51.215Z","45.5351754374026","[""NC-0000000006"",""NC-0000000018"",""NC-0000000031"",""NC-0000000040"",""NC-0000000045"",""NC-0000000061"",""NC-0000000062""]","7","0","music","69df812b3abaf715e885f707","2026-04-15T12:14:35.469000","2026-04-23T15:20:00.340000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"-73.56067319996147","160","music_NC-0000000094-NC-0000000109-NC-0000000119-NC-0000000122","Scène music — Pub Le Sainte-Élisabeth","false","2026-04-23T15:19:51.215Z","45.5107978280856","[""NC-0000000094"",""NC-0000000109"",""NC-0000000119"",""NC-0000000122"",""NC-0000000149"",""NC-0000000157"",""NC-0000000301"",""NC-0000000302""]","8","0","music","69df812b3936d429e8908454","2026-04-15T12:14:35.311000","2026-04-23T15:20:00.222000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"-73.56079777184112","420","music_NC-0000000068-NC-0000000077-NC-0000000095-NC-0000000097","Scène music — ARCADE MTL","false","2026-04-22T11:37:34.340Z","45.517772219351656","[""NC-0000000068"",""NC-0000000077"",""NC-0000000095"",""NC-0000000097"",""NC-0000000106"",""NC-0000000114"",""NC-0000000120"",""NC-0000000127"",""NC-0000000132"",""NC-0000000143"",""NC-0000000147"",""NC-0000000151"",""NC-0000000153"",""NC-0000000156"",""NC-0000000158"",""NC-0000000164"",""NC-0000000203"",""NC-0000000301"",""NC-0000000305"",""NC-0000000306"",""NC-0000000307""]","21","0","music","69df812bfa74061e3bc6edcf","2026-04-15T12:14:35.154000","2026-04-22T11:37:37.827000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"-73.58178410989034","185","music_NC-0000000085-NC-0000000086-NC-0000000087-NC-0000000112","Scène music — LE QUAI DES BRUMES","false","2026-04-23T15:19:51.215Z","45.52464159477713","[""NC-0000000085"",""NC-0000000086"",""NC-0000000087"",""NC-0000000112"",""NC-0000000115"",""NC-0000000121"",""NC-0000000134"",""NC-0000000142"",""NC-0000000148""]","9","0","music","69df812b876d59edd8355a81","2026-04-15T12:14:35.019000","2026-04-23T15:20:00.222000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"-73.59261841365317","200","music_NC-0000000067-NC-0000000069-NC-0000000081-NC-0000000103","Scène music — Bar la marche à côté","false","2026-04-23T15:19:51.215Z","45.522802184288466","[""NC-0000000067"",""NC-0000000069"",""NC-0000000081"",""NC-0000000103"",""NC-0000000117"",""NC-0000000135"",""NC-0000000150"",""NC-0000000177"",""NC-0000000178"",""NC-0000000209""]","10","0","music","69df812a7ca3a3941ddb43a6","2026-04-15T12:14:34.852000","2026-04-23T15:20:00.271000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"-73.57223244886193","100","music_NC-0000000098-NC-0000000107-NC-0000000110-NC-0000000123","Scène music — La porte","false","2026-04-15T12:14:33.783Z","45.513955360570066","[""NC-0000000098"",""NC-0000000107"",""NC-0000000110"",""NC-0000000123"",""NC-0000000126""]","5","0","music","69cfbe12f335e604ba3cf8f6","2026-04-03T13:18:10.493000","2026-04-15T12:14:56.352000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"-73.62511554601538","80","music_NC-0000000009-NC-0000000021-NC-0000000027-NC-0000000035","Scène music — LE RECORD","false","2026-04-23T15:19:51.215Z","45.542679164801775","[""NC-0000000009"",""NC-0000000021"",""NC-0000000027"",""NC-0000000035""]","4","0","music","69cfbe12b6ddc974b9a2123a","2026-04-03T13:18:10.281000","2026-04-23T15:20:00.312000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"-73.57686390842258","60","music_NC-0000000087-NC-0000000108-NC-0000000142","Scène music — ROUGE GORGE","false","2026-04-15T12:14:33.783Z","45.53040416233788","[""NC-0000000087"",""NC-0000000108"",""NC-0000000142""]","3","0","music","69cfbe1168e6db05e025e1a7","2026-04-03T13:18:09.918000","2026-04-15T12:14:56.531000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"-73.56250311803757","100","music_NC-0000000094-NC-0000000109-NC-0000000119-NC-0000000163","Scène music — Pub Le Sainte-Élisabeth","false","2026-04-15T12:14:33.783Z","45.51081996024415","[""NC-0000000094"",""NC-0000000109"",""NC-0000000119"",""NC-0000000163"",""NC-0000000302""]","5","0","music","69cfbe11e688cebdf52d12c3","2026-04-03T13:18:09.468000","2026-04-15T12:14:56.725000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"-73.55485315284606","60","music_NC-0000000122-NC-0000000157-NC-0000000160","Scène music — Brasserie Brewskey","false","2026-04-15T12:14:33.783Z","45.50721769268062","[""NC-0000000122"",""NC-0000000157"",""NC-0000000160""]","3","0","music","69cfbe11d4f4549854a55bb4","2026-04-03T13:18:09.309000","2026-04-15T12:14:56.900000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"-73.56747917060902","60","music_NC-0000000101-NC-0000000105-NC-0000000129","Scène music — Pelicano","false","2026-04-15T12:14:33.783Z","45.504446728390064","[""NC-0000000101"",""NC-0000000105"",""NC-0000000129""]","3","0","music","69cfbe11c975f95ce25158d6","2026-04-03T13:18:09.120000","2026-04-15T12:14:57.063000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"-73.59533489541516","140","music_NC-0000000081-NC-0000000103-NC-0000000117-NC-0000000135","Scène music — LE MOINEAU (SPARROW)","false","2026-04-15T12:14:33.783Z","45.522664929985105","[""NC-0000000081"",""NC-0000000103"",""NC-0000000117"",""NC-0000000135"",""NC-0000000177"",""NC-0000000178"",""NC-0000000209""]","7","0","music","69cfbe10c3e081545ef789f9","2026-04-03T13:18:08.921000","2026-04-15T12:14:57.245000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
